OverallQual_GrLivArea,Overall Qual_p3,Overall Qual_p2,Overall Qual,Gr Liv Area,Gr Liv Area_p2,Yr Sold,SalePrice
9936,216,36,6,1656,2742336,2010,215000
4480,125,25,5,896,802816,2010,105000
7974,216,36,6,1329,1766241,2010,172000
14770,343,49,7,2110,4452100,2010,244000
8145,125,25,5,1629,2653641,2010,189900
9624,216,36,6,1604,2572816,2010,195500
10704,512,64,8,1338,1790244,2010,213500
10240,512,64,8,1280,1638400,2010,191500
12928,512,64,8,1616,2611456,2010,236500
12628,343,49,7,1804,3254416,2010,189000
9930,216,36,6,1655,2739025,2010,175900
7122,216,36,6,1187,1408969,2010,185000
8790,216,36,6,1465,2146225,2010,180400
9387,343,49,7,1341,1798281,2010,171500
12016,512,64,8,1502,2256004,2010,212000
26232,512,64,8,3279,10751841,2010,538000
14016,512,64,8,1752,3069504,2010,164000
16704,729,81,9,1856,3444736,2010,394432
3456,64,16,4,864,746496,2010,141000
12438,216,36,6,2073,4297329,2010,210000
11064,216,36,6,1844,3400336,2010,190000
8211,343,49,7,1173,1375929,2010,170000
11718,343,49,7,1674,2802276,2010,216000
6024,216,36,6,1004,1008016,2010,149000
5390,125,25,5,1078,1162084,2010,149900
5280,125,25,5,1056,1115136,2010,142000
3528,64,16,4,882,777924,2010,126000
3456,64,16,4,864,746496,2010,115000
9359,343,49,7,1337,1787569,2010,184000
5922,216,36,6,987,974169,2010,96000
5460,125,25,5,1092,1192464,2010,105500
6552,216,36,6,1092,1192464,2010,88000
6414,216,36,6,1069,1142761,2010,127500
8736,216,36,6,1456,2119936,2010,149900
5852,343,49,7,836,698896,2010,120000
8736,216,36,6,1456,2119936,2010,146000
21006,729,81,9,2334,5447556,2010,376162
13632,512,64,8,1704,2903616,2010,306000
17460,729,81,9,1940,3763600,2010,395192
12352,512,64,8,1544,2383936,2010,290941
10787,343,49,7,1541,2374681,2010,220000
15282,729,81,9,1698,2883204,2010,275000
14576,512,64,8,1822,3319684,2010,259000
10745,343,49,7,1535,2356225,2010,214000
21276,729,81,9,2364,5588496,2010,611657
9506,343,49,7,1358,1844164,2010,224000
